stopword
adapun
agak
agaknya
akankah
akhir
akhiri
akhirnya
aku
akulah
amat
amatlah
anda
andalah
antar
antara
antaranya
apaan
apabila
apakah
apalagi
apatah
artinya
asal
asalkan
awal
awalnya
bagi
bagian
bakal
bakalan
balik
bapak
beberapa
begini
beginian
beginikah
beginilah
bekerja
belakang
belakangan
berada
berakhir
berakhirlah
berakhirnya
berapa
berapakah
berapalah
berapapun
berarti
berawal
berbagai
berdatangan
beri
berikan
berikut
berikutnya
berjumlah
berkali-kali
berkata
berkehendak
berkenaan
berlainan
berlalu
berlangsung
bermacam
bermacam-macam
bermaksud
bermula
bersama
bersama-sama
bersiap
bersiap-siap
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
betul
betulkah
biasa
biasanya
bila
bilakah
bulan
bung
cara
caranya
cukup
cukupkah
cukuplah
cuma
dalam
datang
depan
dia
diakhiri
diakhirinya
dialah
diantara
diantaranya
diberi
diberikan
diberikannya
dibuat
dibuatnya
didatangkan
digunakan
diibaratkan
diibaratkannya
diingat
diingatkan
dijawab
dijelaskan
dijelaskannya
dikatakan
dikatakannya
dikerjakan
diketahui
diketahuinya
dilakukan
dilalui
dilihat
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
diminta
dimintai
dimisalkan
dimulai
dimulailah
dimulainya
dimungkinkan
dini
dipastikan
diperbuat
diperbuatnya
dipergunakan
diperkirakan
diperlihatkan
diperlukan
diperlukannya
dipersoalkan
dipertanyakan
dipunyai
diri
dirinya
disampaikan
disebut
disebutkan
disebutkannya
disini
disinilah
ditambahkan
ditandaskan
ditanya
ditanyai
ditanyakan
ditegaskan
ditujukan
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
dituturkan
dituturkannya
diucapkan
diucapkannya
diungkapkan
dong
dua
empat
entah
entahlah
guna
gunakan
hal
hampir
hari
hendak
hendaklah
hendaknya
hingga
ia
ialah
ibarat
ibaratkan
ibaratnya
ibu
ikut
ingat
ingat-ingat
inikah
inilah
itukah
itulah
jadi
jadilah
jadinya
jawab
jawaban
jawabnya
jelas
jelaskan
jelaslah
jelasnya
jumlah
jumlahnya
justru
kala
kalian
kami
kamilah
kamu
kamulah
kan
kapan
kapankah
kapanpun
kasus
kata
katakan
katakanlah
katanya
keadaan
kebetulan
kedua
keduanya
kelamaan
kelihatan
kelihatannya
kelima
keluar
kembali
kemungkinan
kemungkinannya
kenapa
kesampaian
keseluruhan
keseluruhannya
keterlaluan
ketika
khususnya
kini
kinilah
kira-kira
kiranya
kita
kitalah
kok
kurang
lagian
lah
lalu
lama
lamanya
lanjut
lanjutnya
lewat
lima
luar
macam
maka
makanya
malah
malahan
mampu
mampukah
masa
masih
masihkah
masing
masing-masing
mau
maupun
melainkan
melakukan
melalui
melihat
melihatnya
memang
memastikan
memerlukan
memihak
meminta
memintakan
memisalkan
memperbuat
mempergunakan
memperkirakan
memperlihatkan
mempersiapkan
mempersoalkan
mempertanyakan
mempunyai
memulai
memungkinkan
menaiki
menambahkan
menandaskan
menanti
menanti-nanti
menantikan
menanya
menanyai
menanyakan
mendatang
mendatangi
mendatangkan
menegaskan
mengakhiri
mengapa
mengatakan
mengatakannya
mengenai
mengerjakan
mengetahui
menggunakan
menghendaki
mengibaratkan
mengibaratkannya
mengingat
mengingatkan
mengucapkan
mengucapkannya
mengungkapkan
menjadi
menjawab
menjelaskan
menuju
menunjuk
menunjuki
menunjukkan
menunjuknya
menurut
menuturkan
menyampaikan
menyangkut
menyatakan
menyebutkan
menyeluruh
menyiapkan
merasa
mereka
merekalah
merupakan
meyakini
meyakinkan
minta
misal
misalkan
misalnya
mula
mulai
mulailah
mulanya
mungkin
mungkinkah
nah
naik
nanti
nantinya
nyaris
nyatanya
padahal
pak
paling
panjang
pantas
para
pasti
pastilah
penting
pentingnya
per
percuma
perlu
perlukah
perlunya
persoalan
pertama
pertama-tama
pertanyaan
pertanyakan
pihak
pihaknya
pukul
pula
punya
rasa
rasanya
rata
rupanya
saja
sajalah
saling
sambil
sampai
sampai-sampai
sampaikan
sana
satu
saya
sayalah
se
sebab
sebabnya
sebagian
sebaliknya
sebegini
sebegitu
sebenarnya
seberapa
sebetulnya
sebuah
sebut
sebutlah
sebutnya
secara
secukupnya
sedang
sedangkan
sedemikian
seenaknya
segala
segalanya
segera
sehingga
seingat
sejauh
sejenak
sejumlah
sekadar
sekadarnya
sekali
sekali-kali
sekalian
sekaligus
sekalipun
sekarang
sekarang
seketika
sekiranya
sekitar
sekitarnya
sekurang-kurangnya
sekurangnya
sela
selain
selaku
selalu
selanjutnya
seluruh
seluruhnya
semacam
semampu
semampunya
semasa
semasih
semata
semata-mata
semaunya
semisal
semisalnya
sempat
semula
sendiri
sendirian
sendirinya
seolah
seolah-olah
seorang
sepanjang
sepantasnya
sepantasnyalah
seperlunya
sepihak
sering
seringnya
serta
serupa
sesama
sesampai
sesegera
sesekali
seseorang
sesuatu
sesuatunya
setempat
setengah
seterusnya
setiap
setiba
setibanya
setinggi
seusai
sewaktu
siap
siapa
siapakah
siapapun
sini
sinilah
soal
soalnya
suatu
supaya
tadi
tadinya
tahu
tahun
tak
tambah
tambahnya
tampak
tampaknya
tandas
tandasnya
tanpa
tanya
tanyakan
tanyanya
tegas
tegasnya
tempat
tengah
tentang
tentu
tentulah
tentunya
tepat
terakhir
terasa
terdiri
terhadap
terhadapnya
teringat
teringat-ingat
terjadi
terjadilah
terjadinya
terkira
terlalu
terlihat
termasuk
ternyata
tersampaikan
tersebut
tersebutlah
tertentu
tertuju
terus
terutama
tetap
tiap
tiba
tiba-tiba
tiga
tinggi
toh
tunjuk
turut
tutur
tuturnya
ucap
ucapnya
ujar
ujarnya
umum
umumnya
ungkap
ungkapnya
usah
usai
waduh
wah
wahai
waktu
waktunya
wong
yaitu
yakin
yakni
tanyarl
